c2,c0,729,129,229,ff9a,
21393813,115899681,49624092,32997902,15987130,893463,
49222271,264331936,120632274,82540561,35309781,1267813,
84104259,477213416,200989415,140523804,56120500,1513155,
43399181,260461833,108287908,72784210,33794218,1145512,
48352355,257494343,138594343,90755077,45332590,1176719,
8199145,41878534,20998115,14001959,6705054,184964,
2233331,10377321,5298607,3686645,1572066,29787,
2693098,12519319,6341845,4412757,1882923,11259,
3266451,15247270,7781318,5374812,2336904,82117,
534850,2594163,1493150,972006,493000,41730,
82725,412241,231482,140845,83001,18445,
1104557,5248041,2675771,1733469,898315,60925,
402237,2040304,1227797,782604,438351,38564,
95262,448795,272907,164304,100845,19071,
413035,2337424,1323084,849893,464674,119436,
4048171,23447746,10132663,7349881,2671686,352877,
24070,106213,70462,42656,26478,15502,
30967,122449,75163,47960,24350,11112,
28326,123528,83135,53637,27201,11074,
15732,68398,40894,25148,14471,6477,
91237,437257,191755,129289,60254,7927,
39610,167219,95704,60052,33608,9104,
34369,163008,97609,57618,37676,5536,
80374,366419,226627,138447,81326,10587,
13471,57331,33557,21124,11379,5662,
27353,140714,116272,66546,48062,16609,
17072,74209,45479,28290,15787,10311,
186,936,592,334,218,2531,
67457,311491,182874,111389,66705,8874,
15671,67772,42391,26476,14620,6770,
3060023,14658960,7437583,4845615,2530017,76638,
1433504,7584961,2585245,1419444,1037511,110739,
298510,1410306,863444,554108,303209,10769,
111796,546149,343056,202432,131612,11381,
16202,66913,40008,24887,14010,5087,
11922,62222,39937,22963,16000,5561,
22575,105102,64184,38789,23469,10072,
132524,678659,424541,270077,149120,23908,
7842593,62555151,21252740,12272648,8795428,378435,
687022,5746462,2089473,1231786,824360,49768,
550379,2860700,1610450,967038,614334,75006,
998345,5056342,2831966,1809981,975814,63782,
965725,4925519,2864710,1823682,1014398,53164,
1596052,8595301,5248029,3211979,1930957,270558,
3609452,16498823,8145740,5429906,2591409,416035,
1284763,6743588,3910184,2449076,1415514,45745,
755720,3601239,1808637,1228796,558819,36608,
974497,5149064,2984058,1888815,1041534,176240,
3960643,19238716,9121647,6085197,2922044,207241,
1128155,5698861,2895567,1825307,1018496,29267,
1473475,7777912,4383978,2724855,1603650,34232,
1490038,6909773,3536558,2286913,1194552,104555,
2185575,11160647,6153568,3887323,2165937,48961,
1522152,7943584,4555937,2835816,1657141,49759,
977595,4837728,2438523,1567168,828956,31824,
5924433,29469500,14745604,9385954,5193437,142557,
8488610,42984843,20321557,13484431,6618191,119734,
9119361,46388084,24190897,15563241,8399612,175533,
1893481,15135020,5552996,3350092,2145161,91812,
1079967,5343094,2959568,1902078,1027037,76298,
1430413,7766816,4402087,2731799,1603267,38077,
869354,4339634,2347965,1539156,774730,81623,
1004304,5285200,3027029,1925592,1049394,234539,
8000530,39950223,20147383,12193299,7710265,603037,
17664,75589,52904,33190,18219,15112,
5233751,71426536,13126492,7182362,5859834,446269,
915275,5143801,2295754,1478001,781487,74640,
584297,2780073,1356769,911630,427142,13900,
23688,106756,64890,39110,23952,6087,
180984,902197,628008,394533,233100,51162,
686651,3773748,2116205,1304230,771403,39499,
290953,1590358,986551,616472,351105,49784,
1304378,6033001,3073456,1989099,1021161,96934,
161260,719210,395981,244601,132992,17924,
75747,304227,137086,89101,45268,12499,
1645,7656,5183,3116,1966,3916,
28381,132070,87296,52722,32187,16551,
261018,1884831,1114429,649905,459833,177672,
2784581,14601061,6273719,4540836,1653829,279260,
24433,103183,67168,42028,23187,8378,
154842,785000,596377,354508,233308,60409,
1288615,6821930,4204165,2609894,1542609,117828,
58183,289662,177134,103715,69259,8557,
1095376,5929064,3391242,2088273,1247187,60375,
1210399,5777686,3216802,2127180,1044271,146153,
275519,1230676,672217,409833,254463,42464,
85391,426205,181362,107389,71598,29975,
186,936,672,370,256,4476,
950470,4663900,2875485,1810700,1036410,94420,
903232,4512551,2647694,1662899,957618,31382,
1006180,5284841,2975528,1854876,1067617,26244,
439584,2280523,1272716,791231,457982,24444,
3989567,19051621,9728063,6275436,3338950,109250,
1697315,8473627,4873327,3047143,1752183,57236,
414462,2282620,1336371,818737,492456,24006,
506120,2422159,1393087,894001,488287,17402,
115620,591115,352069,213302,130726,21540,
697182,3414415,2089420,1357021,715490,25023,
43944,213661,129286,77708,48342,9800,
27110,118323,73134,45392,26241,9982,
492555,2419259,1445767,923062,509434,10432,
1273776,6649695,3962799,2482809,1431281,27838,
62703,312787,191548,112925,73347,10257,
1012475,4521410,2085183,1333750,711574,28871,
20843,93741,59155,37078,19574,7101,
79204,331649,138885,91466,42999,9483,
153779,625470,293883,190876,95717,22102,
4917068,25667470,13297327,7819134,5374647,234243,
3963561,44155926,10728570,6136782,4474254,242652,
52296,237817,166348,103733,58175,24668,
1106300,5795320,3103415,1952711,1109400,55333,
855122,4348926,2299402,1488205,779729,138849,
2138638,9783320,4368141,2894629,1412473,339909,
2433581,12015827,6531104,4159385,2280584,177394,
539304,3377805,1960684,1187301,754352,159604,
2476747,11577045,4616364,3183720,1373508,188307,
627643,2973851,1505070,1005641,477143,46847,
1094336,5727917,2982573,1879735,1064983,28889,
591793,3346047,1861926,1111220,724020,22869,
616672,2916287,1429508,959746,449322,20609,
581179,3331346,1796935,1067241,705904,15753,
746718,3430985,1601876,1076882,501575,23622,
1139890,5951398,3068653,1930928,1097347,19981,
679249,3745357,2063860,1231525,798977,28406,
618790,2927617,1431492,960790,450094,21102,
779322,4284263,2457536,1493573,933559,70991,
615765,2913583,1443582,967794,454837,20612,
1102415,5769331,2973164,1874710,1060730,17305,
584837,3313441,1801118,1072946,702611,17545,
666362,3148062,1597482,1084670,491501,50236,
2503985,12690257,5441593,3598946,1786696,348220,
616833,2917949,1457671,977367,459444,34462,
1138929,5946605,3078564,1936820,1101149,28392,
1669867,7845930,4496087,2832474,1578377,172042,
2052837,10513701,5932659,3733266,2112297,103991,
2162936,11658670,6825741,4240386,2482991,112508,
717714,3450426,1786277,1173926,584134,42009,
1926650,9875574,5488183,3493906,1928259,41822,
1403437,7301979,4210229,2642042,1528821,41330,
980259,4901167,2565833,1634741,879025,30868,
1176427,6217987,3632879,2279148,1315102,18860,
635387,3001964,1506959,1007342,477098,25261,
1142585,5962227,3152674,1983339,1127234,22461,
668648,3695911,2086572,1247666,805452,28122,
615351,2909395,1441126,966158,454079,18118,
803803,5037071,2855388,1682829,1145048,174471,
2325602,10609873,4080131,2917184,1112933,327153,
1137485,5922796,3063618,1931278,1091749,35827,
577462,3273344,1806415,1076064,704304,22892,
615318,2909860,1431122,959955,450232,18371,
539527,3107758,1698714,1010524,666337,12810,
614876,2907245,1428558,958660,449383,17235,
4217125,20507186,10498891,6811737,3586415,88839,
671168,3706551,2147303,1284499,829217,38322,
